Date,Open,High,Low,Close,Adj Close,Volume
25/10/2018,2674.879883,2722.699951,2667.840088,2705.570068,2705.570068,4663930000
26/10/2018,2667.860107,2692.379883,2628.159912,2658.689941,2658.689941,4804330000
29/10/2018,2682.649902,2706.850098,2603.540039,2641.25,2641.25,4701260000
30/10/2018,2640.679932,2685.429932,2635.340088,2682.629883,2682.629883,5125600000
31/10/2018,2705.600098,2736.689941,2705.600098,2711.73999,2711.73999,5133380000
1/11/2018,2717.580078,2741.669922,2708.850098,2740.370117,2740.370117,4730250000
2/11/2018,2745.449951,2756.550049,2700.439941,2723.060059,2723.060059,4261230000
5/11/2018,2726.370117,2744.27002,2717.939941,2738.310059,2738.310059,3650910000
6/11/2018,2738.399902,2756.820068,2737.080078,2755.449951,2755.449951,3543800000
7/11/2018,2774.129883,2815.149902,2774.129883,2813.889893,2813.889893,3929080000
8/11/2018,2806.379883,2814.75,2794.98999,2806.830078,2806.830078,3673550000
9/11/2018,2794.100098,2794.100098,2764.23999,2781.01001,2781.01001,4029030000
12/11/2018,2773.929932,2775.98999,2722,2726.219971,2726.219971,3701570000
13/11/2018,2730.050049,2754.600098,2714.97998,2722.179932,2722.179932,4112820000
14/11/2018,2737.899902,2746.800049,2685.75,2701.580078,2701.580078,4449060000
15/11/2018,2693.52002,2735.379883,2670.75,2730.199951,2730.199951,4204960000
16/11/2018,2718.540039,2746.75,2712.159912,2736.27002,2736.27002,3996970000
19/11/2018,2730.73999,2733.159912,2681.090088,2690.72998,2690.72998,3806940000
20/11/2018,2654.600098,2669.439941,2631.52002,2641.889893,2641.889893,4370820000
21/11/2018,2657.73999,2670.72998,2649.820068,2649.929932,2649.929932,3237400000
23/11/2018,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651680000
26/11/2018,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3523520000
27/11/2018,2663.75,2682.530029,2655.889893,2682.169922,2682.169922,3494380000
28/11/2018,2691.449951,2744,2684.379883,2743.790039,2743.790039,3984540000
29/11/2018,2736.969971,2753.75,2722.939941,2737.800049,2737.800049,3599200000
30/11/2018,2737.76001,2760.879883,2732.76001,2760.169922,2760.169922,4668310000
3/12/2018,2790.5,2800.179932,2773.379883,2790.370117,2790.370117,4221580000
4/12/2018,2782.429932,2785.929932,2697.179932,2700.060059,2700.060059,4515710000
6/12/2018,2663.51001,2696.149902,2621.530029,2695.949951,2695.949951,5180430000
7/12/2018,2691.26001,2708.540039,2623.139893,2633.080078,2633.080078,4242240000
10/12/2018,2630.860107,2647.51001,2583.22998,2637.719971,2637.719971,4162880000
11/12/2018,2664.439941,2674.350098,2621.300049,2636.780029,2636.780029,3963440000
12/12/2018,2658.22998,2685.439941,2650.26001,2651.070068,2651.070068,4029300000
13/12/2018,2658.699951,2670.189941,2637.27002,2650.540039,2650.540039,3978340000
14/12/2018,2629.679932,2635.070068,2593.840088,2599.949951,2599.949951,4064370000
17/12/2018,2590.75,2601.129883,2530.540039,2545.939941,2545.939941,4661420000
18/12/2018,2559.899902,2573.98999,2528.709961,2546.159912,2546.159912,4519190000
19/12/2018,2547.050049,2585.290039,2488.959961,2506.959961,2506.959961,5152830000
20/12/2018,2496.77002,2509.629883,2441.179932,2467.419922,2467.419922,5619780000
21/12/2018,2465.379883,2504.409912,2408.550049,2416.620117,2416.620117,7657890000
24/12/2018,2400.560059,2410.340088,2351.100098,2351.100098,2351.100098,2613670000
26/12/2018,2363.120117,2467.76001,2346.580078,2467.699951,2467.699951,4249740000
27/12/2018,2442.5,2489.100098,2397.939941,2488.830078,2488.830078,4139010000
28/12/2018,2498.77002,2520.27002,2472.889893,2485.73999,2485.73999,3728440000
31/12/2018,2498.939941,2509.23999,2482.820068,2506.850098,2506.850098,3461920000
2/1/2019,2476.959961,2519.48999,2467.469971,2510.030029,2510.030029,3733160000
